Episode,Avg length,Avg prey reward,Avg predator reward
7020,592,0.058631376658406585,0.25332226259475626
7040,538,0.06666354081025071,0.25974551995619233
7060,616,0.06473534623191027,0.24539317103147895
7080,526,0.05649564425239123,0.2456877014705797
7100,572,0.059829933093005216,0.24439833287369614
7120,729,0.04726063418330404,0.245342930217461
7140,565,0.057633720525034945,0.2473034179148672
7160,627,0.059853356950943196,0.2304162065849465
7180,577,0.056351921731751964,0.24826237533379986
7200,579,0.05001625744397877,0.24638350651641033
7220,572,0.067524675502558,0.24283129441463674
7240,569,0.06364522796710705,0.24949762558625213
7260,519,0.04994620143616393,0.26736664574688335
7280,554,0.04937314363826305,0.24322336613786516
7300,604,0.04541888502624479,0.2473862799670349
7320,598,0.04513647204535888,0.24382697597043976
7340,597,0.05463246756868849,0.25226015336555
7360,505,0.05600421191574419,0.2483087913664276
7380,535,0.06790380376716228,0.25854884068328515
7400,535,0.06920155109922047,0.26090378745387177
7420,530,0.05594102005618692,0.25516082683914043
7440,662,0.05946231004931536,0.23782535539030708
7460,468,0.062000329219035796,0.2669530812954155
7480,535,0.0571228061589093,0.24731656235491561
7500,559,0.06765048634990516,0.2516789532072806
7520,450,0.06035914755757996,0.25858607116097715
7540,531,0.04688041555157476,0.24154994131617133
7560,495,0.04926049573783383,0.24232273112229655
7580,491,0.05724048193099672,0.24307832965449813
7600,551,0.055112186358603744,0.24189637311880802
7620,535,0.05184958466434377,0.269064961823544
7640,559,0.06803492769301615,0.285095614004243
7660,467,0.07006559294379745,0.2635546290548946
7680,436,0.06058000979666216,0.26750012385059774
7700,471,0.05245696197007523,0.2654333071360052
7720,512,0.05741689268427115,0.26786260234366116
7740,514,0.06825765713535988,0.24780355590813885
7760,446,0.05045716136225581,0.25578690380271574
7780,533,0.059587896077915356,0.24626963163545135
7800,525,0.055645558403569294,0.26004859439273825
7820,526,0.06849906910461938,0.252104399000557
7840,489,0.0661159973588784,0.2636440273278413
7860,610,0.0405882508172239,0.2502604156382164
7880,551,0.05713197192049542,0.26479861773729346
7900,569,0.06137645106333428,0.251116454081454
7920,689,0.06408536953424421,0.23396377690046508
7940,550,0.0547391544284072,0.25848757313389437
7960,540,0.05536205560237617,0.24265365122839494
7980,524,0.0566768617955518,0.26077950041220654
8000,508,0.05837947341338077,0.2627219082962716
8020,550,0.05951619271843169,0.2523053155757995
8040,525,0.05052908202444293,0.2571781837630626
8060,626,0.06457303220392181,0.24088366143626977
8080,543,0.06526012644353937,0.25094042780442294
8100,492,0.05560118861829137,0.2541444178348954
8120,486,0.05434595072056444,0.2521362765538471
8140,533,0.04698301174982152,0.2497744555592328
8160,434,0.05484319313579413,0.2710714849339281
8180,512,0.06546391792948189,0.26233755939327486
8200,551,0.06424229353854073,0.253415122167605
8220,625,0.05968481277584279,0.23262541884103402
8240,482,0.03680065081178345,0.28124587548644814
8260,529,0.04273499817857905,0.25646513929694414
8280,499,0.05038566859194706,0.2626503099915135
8300,547,0.050756139358038854,0.2582053371986026
8320,546,0.05088845039550416,0.2640314835308043
8340,477,0.051804180890131925,0.2642669239991383
8360,550,0.056038626590658336,0.2693341685075843
8380,424,0.0458579026470024,0.26562723366101304
8400,579,0.055482769956653674,0.2537992794833662
8420,504,0.05219650023263574,0.2652113738435513
8440,475,0.05284797974653408,0.28045249964099184
8460,525,0.052810255775772676,0.26909388994793065
8480,544,0.04739114414449385,0.26127246424643735
8500,561,0.053277043480555605,0.27398245632464313
